name,restaurant,price
BRC Burrito,Streats,4.95
Spanish Rice,Streats,2.95
Papa Con Chorizo Plant Based Bowl,Streats,8.95
Papas Con Chorizo Plant Based Tacos,Streats,6.95
Papas Con Chorizo Plant Based Burrito,Streats,9.95
Chips and Salsa Roja,Streats,2.95
Tu Taco Combo,Streats,8.95
Barbacoa Tacos,Streats,6.95
Chicken Tinga Tacos,Streats,6.95
Chicken Tinga Bowl,Streats,9.95
Chicken Tinga Burrito,Streats,9.95
Guacamole,Streats,1.95
Barbacoa Burrito,Streats,8.95
Barbacoa Bowl,Streats,8.95
Tomato Basil Soup,Balance Cafe,5.95
garlic fries,Balance Cafe,5.95
grilled cheese,Balance Cafe,6.95
southwestern grilled chicken salad,Balance Cafe,6.95
grilled chicken sandwich,Balance Cafe,9.95
quinoa black bean and corn salad,Balance Cafe,6.95
frittata and potatoes,Brunch,8.95
nashville hot chicken and waffles,Brunch,11.95
brunch burger,Brunch,11.95
southwest chicken sandwich,Brunch,9.95
impossible brunch burger,Brunch,9.95
seasoned curly fries,Brunch,3.45
chicken strips and fries,Brunch,9.95
formaggio pizza,Hearth,9.95
meat lovers pizza,Hearth,9.95
veggie pizza,Hearth,9.95
Capriciosa pizza,Hearth,10.95
buffalo chicken pizza,Hearth,10.95
plant-based chorizo pizza,Hearth,10.95
peppy-roni pizza,Hearth,9.95
Spinach and Artichoke Tortellini,Hearth,9.95
side of salmon,Hearth,7.95
side of chicken,Hearth,5.95
caesar salad,Hearth,5.45
Meatball Sub Sandwich,Hearth,9.95
roasted veggie sandwich,Hearth,9.95
vegan vegetable sandwich,Hearth,9.95
Vegan Meatball Sub,Hearth,9.95
Ziti Pasta Bake Combo Deal,Hearth,8.95
combo - cheese flat bread,Hearth,8.95
Vegan Cheesy Flat Bread Combo Deal,Hearth,8.95
udon noodle bowl,Noodles,7.95
lentil bolognese,Noodles,8.95
blackened chicken alfredo,Noodles,8.95
dumpling soup,Noodles,8.95
Sweet Fire Chicken Plate,Noodles,8.95
stir fry vegetables,Noodles,2.95
garlic toast,Noodles,2.95
vegan falafel wrap,Mingle + Nosh,8.95
Hot Pastrami and Swiss Melt,Mingle + Nosh,10.95
ham and cheese melt,Mingle + Nosh,9.95
cheese jalapeno bacon wrap,Mingle + Nosh,8.95
mezze plate with 3 choices,Mingle + Nosh,8.95
meeze plate with 5 choies,Mingle + Nosh,10.95
Build Your Own Rice Bowl with Pork Loin,Balance Cafe,8.95
Build your Own Rice Bowl with Sweet Peas,Balance Cafe,8.95
